Driver_surname,Race,lap_time,driver_id
Russell,Sakhir Grand Prix,0.000641204,847
Russell,Sakhir Grand Prix,0.00065162,847
Russell,Sakhir Grand Prix,0.000652778,847
Russell,Sakhir Grand Prix,0.000652778,847
Russell,Sakhir Grand Prix,0.000653935,847
Russell,Sakhir Grand Prix,0.000653935,847
Russell,Sakhir Grand Prix,0.000653935,847
Russell,Sakhir Grand Prix,0.000655093,847
Russell,Sakhir Grand Prix,0.000655093,847
Bottas,Sakhir Grand Prix,0.000655093,822
Bottas,Sakhir Grand Prix,0.000655093,822
Russell,Sakhir Grand Prix,0.00065625,847
Russell,Sakhir Grand Prix,0.00065625,847
Bottas,Sakhir Grand Prix,0.00065625,822
Bottas,Sakhir Grand Prix,0.00065625,822
Bottas,Sakhir Grand Prix,0.00065625,822
Russell,Sakhir Grand Prix,0.000657407,847
Russell,Sakhir Grand Prix,0.000657407,847
Russell,Sakhir Grand Prix,0.000657407,847
Bottas,Sakhir Grand Prix,0.000657407,822
Pérez,Sakhir Grand Prix,0.000657407,815
Pérez,Sakhir Grand Prix,0.000657407,815
Pérez,Sakhir Grand Prix,0.000657407,815
Pérez,Sakhir Grand Prix,0.000657407,815
Russell,Sakhir Grand Prix,0.000658565,847
Russell,Sakhir Grand Prix,0.000658565,847
Russell,Sakhir Grand Prix,0.000658565,847
Russell,Sakhir Grand Prix,0.000658565,847
Vettel,Sakhir Grand Prix,0.000658565,20
Giovinazzi,Sakhir Grand Prix,0.000658565,841
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Pérez,Sakhir Grand Prix,0.000658565,815
Russell,Sakhir Grand Prix,0.000659722,847
Russell,Sakhir Grand Prix,0.000659722,847
Russell,Sakhir Grand Prix,0.000659722,847
Russell,Sakhir Grand Prix,0.000659722,847
Russell,Sakhir Grand Prix,0.000659722,847
Bottas,Sakhir Grand Prix,0.000659722,822
Bottas,Sakhir Grand Prix,0.000659722,822
Bottas,Sakhir Grand Prix,0.000659722,822
Bottas,Sakhir Grand Prix,0.000659722,822
Ricciardo,Sakhir Grand Prix,0.000659722,817
Kvyat,Sakhir Grand Prix,0.000659722,826
Pérez,Sakhir Grand Prix,0.000659722,815
Pérez,Sakhir Grand Prix,0.000659722,815
Pérez,Sakhir Grand Prix,0.000659722,815
Pérez,Sakhir Grand Prix,0.000659722,815
Russell,Sakhir Grand Prix,0.00066088,847
Russell,Sakhir Grand Prix,0.00066088,847
Russell,Sakhir Grand Prix,0.00066088,847
Russell,Sakhir Grand Prix,0.00066088,847
Kvyat,Sakhir Grand Prix,0.00066088,826
Vettel,Sakhir Grand Prix,0.00066088,20
Vettel,Sakhir Grand Prix,0.00066088,20
Albon,Sakhir Grand Prix,0.00066088,848
Albon,Sakhir Grand Prix,0.00066088,848
Giovinazzi,Sakhir Grand Prix,0.00066088,841
Pérez,Sakhir Grand Prix,0.00066088,815
Pérez,Sakhir Grand Prix,0.00066088,815
Pérez,Sakhir Grand Prix,0.00066088,815
Pérez,Sakhir Grand Prix,0.00066088,815
Russell,Sakhir Grand Prix,0.000662037,847
Bottas,Sakhir Grand Prix,0.000662037,822
Sainz,Sakhir Grand Prix,0.000662037,832
Sainz,Sakhir Grand Prix,0.000662037,832
Sainz,Sakhir Grand Prix,0.000662037,832
Sainz,Sakhir Grand Prix,0.000662037,832
Ricciardo,Sakhir Grand Prix,0.000662037,817
Ricciardo,Sakhir Grand Prix,0.000662037,817
Ricciardo,Sakhir Grand Prix,0.000662037,817
Ricciardo,Sakhir Grand Prix,0.000662037,817
